,logFC,AveExpr,t,P.Value,adj.P.Val,B
CCL23,-0.0856858665827769,4.00607044784305,-4.32961711952174,1.87236291390173e-05,8.50509023357399e-05,2.00778654415211
SIP1,0.28246272096742,6.30464648523414,4.32923828800517,1.87544713224945e-05,8.51588777019149e-05,2.00622363704413
OTUB1,0.175652013215358,6.99388506473764,4.32910208473252,1.87655720387399e-05,8.51771649040732e-05,2.00566174742443
LOC730092,0.137357045999055,5.06031261832735,4.32805481898733,1.88511354098653e-05,8.55332978920868e-05,2.00134192260987
CXorf57,0.594994183411962,5.78377334887507,4.32716746674157,1.89239253282943e-05,8.58312274212128e-05,1.99768246584003
C21orf7,-0.451639569172338,5.92658378395154,-4.32646538120047,1.89817080398745e-05,8.6060891647654e-05,1.99478753806992
ANAPC5,0.179486669530046,8.14349258514176,4.32582198091784,1.90348089312202e-05,8.62691641512056e-05,1.99213496560849
ZNF266,0.281892421391177,7.75849949694452,4.32542019913706,1.90680406375436e-05,8.63872631141085e-05,1.99047870635957
SBF1,0.12469121392714,4.93069364404251,4.32532131744966,1.907622772415e-05,8.6391851919599e-05,1.99007110935545
RAE1,0.205008815918767,8.48827409823108,4.3248676668869,1.911383162496e-05,8.65296091833717e-05,1.98820124017055
POLD2,0.232024245157442,8.20872738373828,4.32471352542181,1.91266248047575e-05,8.65549853058585e-05,1.98756593648804
KIAA0460,0.263705137357051,7.390343708491,4.32347940189505,1.92293480692735e-05,8.6987156066939e-05,1.98248016514394
NEUROD1,0.443977767325685,4.80981139322867,4.32320586122234,1.92521877349256e-05,8.70577711993893e-05,1.98135309504695
GLB1L,-0.203593335110908,5.40468509905107,-4.32280451146958,1.92857459394338e-05,8.71767840100081e-05,1.97969953091558
H2AFV,0.271784551596795,9.27116855649915,4.3219191544405,1.93599714391004e-05,8.74794656921754e-05,1.9760523490249
PAM,-0.317127729214002,10.474756818115,-4.31868018061036,1.96338501303325e-05,8.86837296584635e-05,1.96271538306738
SFRS3,0.192418527899948,9.77258367842904,4.31816104633647,1.96780895692615e-05,8.88502266940558e-05,1.96057861859511
DHCR7,0.320063709754251,6.51452336685302,4.31788639717895,1.97015330620779e-05,8.89227365567997e-05,1.95944825348634
ZNHIT3,0.267011816153913,8.60399305252384,4.31673244160553,1.98003243667143e-05,8.93351465057973e-05,1.95469967196557
TMEPAI,-0.35618838647167,6.74348632028112,-4.31645632239879,1.98240333113275e-05,8.93753709282081e-05,1.95356360041905
PTCD1,0.093028358115629,5.43667656123865,4.31645573605879,1.9824083686202e-05,8.93753709282081e-05,1.95356118803825
VPS16,0.241783540461217,7.64176834732008,4.31598918838533,1.98642055109656e-05,8.95227405550331e-05,1.95164176416162
SEMA4D,-0.27963244045909,6.04392049607147,-4.31487606793846,1.99602445205915e-05,8.99219096584221e-05,1.94706304104283
RRP1,0.145538397132305,5.66721818538034,4.31268929825111,2.01502107296307e-05,9.07437687382996e-05,1.9380710996877
FUZ,0.180828158563565,5.457040142495,4.31226759403378,2.01870426452461e-05,9.08756514145995e-05,1.93633754189879
CBX5,0.309620268839546,7.8951007521656,4.31217659273792,2.019499919193e-05,9.08774963636852e-05,1.93596347062694
FGF9,0.432540656795405,5.04176481589767,4.31143393553826,2.0260044306044e-05,9.11361425227425e-05,1.93291096271514
ZNF391,0.0599598357590838,3.68038387201113,4.31091509340227,2.03056054728242e-05,9.13069832351565e-05,1.93077867619801
MUS81,0.20415626698632,7.12103395945134,4.30969159219458,2.04134329702166e-05,9.17575811225636e-05,1.9257513798247
KLHL7,0.352730742711387,6.51307740942856,4.30956164660312,2.0424917199464e-05,9.17688318038578e-05,1.92521751747058
SAPS2,0.177721139026762,5.93070075565047,4.309490841169,2.04311773846656e-05,9.17688318038578e-05,1.92492662995034
HEBP2,-0.305589031013396,9.3059605632008,-4.30893756762183,2.04801576394483e-05,9.19545332938986e-05,1.92265378580523
PPP2R5C,0.240100672762722,8.22820426418198,4.30850245843328,2.05187558253731e-05,9.20934989374367e-05,1.92086654748756
TAF1A,0.254267190889554,4.98103734232997,4.30817106463345,2.05482001249976e-05,9.21912913208725e-05,1.91950543733954
NXPH3,0.160016526321009,5.21615763682318,4.30792330048915,2.05702403119573e-05,9.22558040359739e-05,1.91848787585327
NR4A3,-0.158441990280708,4.66737978016385,-4.30657786164016,2.06903205513492e-05,9.2759806433115e-05,1.9129631244886
CBFA2T2,0.131874902514781,5.28801251310135,4.30587237898627,2.07535521751106e-05,9.30086621855908e-05,1.91006684435388
GTF2F1,0.236167711313236,6.80931106623911,4.30553489912191,2.07838653693046e-05,9.31098611522196e-05,1.90868151192713
CCRK,0.17934387350473,5.40384869726468,4.3053048661781,2.08045516825763e-05,9.31350154748925e-05,1.90773729887361
PTPRCAP,-0.170570246587377,4.98145903464822,-4.30530045403061,2.08049486486847e-05,9.31350154748925e-05,1.9077191888435
GTPBP3,0.196371495030097,6.12719315245361,4.30493151175814,2.08381684370245e-05,9.32490614339089e-05,1.90620489432604
SSNA1,0.210759450111112,6.33590624859108,4.3035814671932,2.09601598439668e-05,9.37601206690374e-05,1.90066475425906
TFAP2A,0.262219440282071,4.93015100952622,4.30185283452861,2.11173573095521e-05,9.44282275238121e-05,1.89357333276843
CHMP7,0.182556836779202,7.01480101254981,4.30104551047486,2.11911585942196e-05,9.47230630258322e-05,1.89026231571214
NME4,0.236953721290492,8.57745938027642,4.30085086764407,2.12089886423626e-05,9.47675848724787e-05,1.88946412682598
JPH3,0.101491240727248,4.02066601480066,4.30062073247465,2.12300884201505e-05,9.48266783217552e-05,1.88852043402293
KIAA0913,0.0697215597075935,4.94147541831011,4.30023789459618,2.1265233073935e-05,9.49484377739433e-05,1.8869506704579
FBXO42,0.213495955119336,6.33543787999349,4.29967741671892,2.1316785414214e-05,9.51433394951685e-05,1.88465275390651
RAD9A,0.232709981804588,5.45750319468819,4.29932765415773,2.1349016797268e-05,9.52332394085412e-05,1.88321889289719
EEF2,0.218356038324977,11.4862843481233,4.29928723769516,2.13527442620047e-05,9.52332394085412e-05,1.88305321140004
PCDHA9,0.247882473242284,4.42452476164315,4.29844347572285,2.14307035207661e-05,9.55049173937414e-05,1.87959465539887
TRIM3,0.0764763397522339,4.4820242658484,4.29843331845289,2.14316436545426e-05,9.55049173937414e-05,1.87955302482418
SLC2A10,-0.492181493662343,7.55326204659138,-4.29837057885245,2.14374515624716e-05,9.55049173937414e-05,1.87929588236632
TPM2,-0.353787297207218,6.06851919603531,-4.29759868791941,2.15090299394781e-05,9.57883648414184e-05,1.8761325165712
ZNF222,0.229796593768659,5.66498006877224,4.29566487249737,2.16893588988054e-05,9.65557337742753e-05,1.86820963005135
METT10D,0.151238232835848,4.65711797689891,4.29454111676484,2.17948120659675e-05,9.69893299698376e-05,1.86360707533794
GSK3A,0.088901555153778,5.80273303148793,4.29382840322557,2.18619466924917e-05,9.72521470524512e-05,1.86068859275919
ZNF146,0.315024456934995,8.09472718675725,4.29367729062935,2.18762062258755e-05,9.72796437858173e-05,1.86006986044156
FLJ22639,0.222312440542619,4.70986371421706,4.29197686730573,2.20372780685893e-05,9.79597277600416e-05,1.85310883030979
ACTL6B,0.418617515374091,4.75947735901323,4.29166937481333,2.20665258517113e-05,9.80535440244677e-05,1.85185031632809
MORC2,0.229285372119618,6.42809616718134,4.2911932207234,2.21118894081417e-05,9.8218875784892e-05,1.84990166216161
SCARF1,-0.185519168572077,4.90088266596145,-4.29103415171703,2.21270638719514e-05,9.8233225017759e-05,1.84925071848741
VAMP3,-0.317315373997506,8.91354465811376,-4.29098835061714,2.21314349338299e-05,9.8233225017759e-05,1.84906329489203
PAXIP1,0.334859501126316,6.8647748429073,4.28903152083292,2.23189587647993e-05,9.9029072013896e-05,1.84105742234549
C21orf45,0.302785916648871,6.52463732690544,4.28893899253991,2.23278632642142e-05,9.90320918702274e-05,1.84067894904427
MFAP4,-0.470458144842039,5.4631204205938,-4.287617497588,2.24554087937177e-05,9.95611313306142e-05,1.83527438467106
SFRS1,0.250130372845359,7.94065367615563,4.28734964477652,2.24813455852407e-05,9.96394418614162e-05,1.83417912336463
CAMK1D,0.196143642479833,4.81539038251864,4.2851477037289,2.26956516736714e-05,0.000100552258077392,1.8251776678301
PNRC1,-0.173029471433182,7.91774688563775,-4.28499909732838,2.27101850061466e-05,0.000100579642458263,1.82457032266466
ENAH,0.325056360382575,9.027269147658,4.28387142167196,2.28207588562339e-05,0.000101032197848077,1.81996221014296
NEDD9,-0.338548158769978,7.22214258769368,-4.28365914393887,2.28416311027146e-05,0.000101087439080812,1.81909488656318
NGRN,0.227646108804015,10.7328919398932,4.28347175792981,2.28600710158075e-05,0.000101131879196309,1.81832929818446
MDFI,0.17936603088978,4.59645483086114,4.28239647204262,2.29661608150533e-05,0.000101563903244536,1.81393667924469
PPP2R5E,0.253357451478868,8.6094327058014,4.28173403365029,2.30317521726924e-05,0.000101816578437431,1.81123107399067
LAMP3,-0.424241936715585,4.74201918394937,-4.28057418471591,2.31470257223896e-05,0.000102255017133727,1.8064948113589
ITPKC,-0.236637156710572,5.74182847146292,-4.2805652716294,2.31479136942818e-05,0.000102255017133727,1.80645841916764
TAPBP,-0.190541781094648,6.93756832750752,-4.27987138563774,2.3217142464749e-05,0.000102523223161169,1.80362549095556
ERG,-0.159175996076472,4.86604266255949,-4.27938302208461,2.32659848368201e-05,0.000102701242450509,1.80163190121902
RFXDC2,0.320651661900134,5.95394760789106,4.27911854090814,2.32924771581261e-05,0.00010278050932142,1.80055232739785
EIF3G,0.185692346190832,9.38904875098192,4.2788787803683,2.33165181772121e-05,0.000102848905454208,1.7995737124128
XAF1,-0.553587879879306,6.62184272763381,-4.27786132707622,2.34188030967007e-05,0.000103262258107093,1.79542139802314
STX1A,0.251375407579062,5.22302808718423,4.27624086237251,2.35825941608247e-05,0.00010394641247608,1.78881000858567
TPM4,-0.317694901466488,8.03110099132802,-4.27557221296325,2.36504972967305e-05,0.000104207569867263,1.78608263129969
RALYL,0.504094551986456,5.38384773710954,4.27517924018443,2.36904917997446e-05,0.000104345611650521,1.78447990316471
FCMD,0.328719670809375,6.72233454461653,4.27482882899979,2.37262090924785e-05,0.000104447861927023,1.78305087501448
TRAT1,-0.112796993592854,3.63799394256176,-4.27478133758792,2.3731053830953e-05,0.000104447861927023,1.7828572063309
TTC12,-0.260080470302526,5.06066304120773,-4.27368752072209,2.3842899089479e-05,0.000104901786932958,1.77839719612866
IGHM,-0.375635408486247,4.27823005889376,-4.27312676941673,2.39004321739303e-05,0.000105116509948309,1.77611115225769
ZNF571,0.268697822899237,5.1767072082331,4.27213462386329,2.40025512206537e-05,0.000105527098137682,1.77206709401402
MCPH1,0.145419390788169,4.25010579572559,4.26967197657157,2.42578288865865e-05,0.000106610501989881,1.76203287860796
FOSB,-0.435861368957152,5.03143899193219,-4.26908584517667,2.43189679895341e-05,0.000106840208876311,1.75964542897048
ASH1L,0.139126986367849,5.19484585397318,4.26693762944148,2.45443076057391e-05,0.000107790865130675,1.75089781221968
GBX2,0.166150798280897,4.17241935574153,4.26570729080449,2.46742618041424e-05,0.00010832207825209,1.74588964223557
PAPPA,-0.137510396364947,4.46570195493481,-4.26530001269034,2.47174249819913e-05,0.000108472023189919,1.74423208274354
TCERG1,0.285981603424697,7.96827624010073,4.26494169326439,2.47554591382486e-05,0.000108599358449104,1.74277389747416
POU3F4,0.163549921015344,4.65810373288307,4.26318013250434,2.49432556625329e-05,0.000109383352035041,1.73560683626929
ECH1,0.184311216476899,7.61399293490546,4.26162349881242,2.51103365700414e-05,0.000110075963952107,1.72927579563951
PRPF31,0.209667630518486,6.66593251676444,4.26102686715552,2.51746586835131e-05,0.000110317772877316,1.72684977512546
TSC1,0.279941897690538,7.33603590121702,4.26092038968229,2.51861544148e-05,0.000110327999804664,1.72641684970256
UCN,0.223679553791842,4.93558798765758,4.25803044202361,2.55000853097802e-05,0.000111662555381954,1.71467043273021
SLC35B1,0.188123106707728,8.82261156511058,4.25772928195511,2.5533013963941e-05,0.000111766104745103,1.71344676429878
MAFF,-0.431145257164947,7.88715000761058,-4.25715601529537,2.55958067844293e-05,0.000112000256285646,1.71111769616153
ZNF107,0.372937249019383,6.59106499721732,4.25655621205075,2.56616640815872e-05,0.000112247642161451,1.708681122764
RAB3B,0.161325933462303,4.20046196287534,4.25642942315969,2.56756059635398e-05,0.000112267845683713,1.70816611007399
SEC31B,0.211814393627694,4.86762410972126,4.2523639780054,2.61265002114809e-05,0.000114197936677551,1.6916598448646
RBM12,0.226222836091644,7.21991002945848,4.25141562217833,2.62327632504991e-05,0.000114620803723698,1.6878114691953
BAT2,0.242886449272532,6.05283783643489,4.25107229308934,2.62713347950344e-05,0.000114747701705406,1.68641845261321
SYT5,0.114923853362598,4.41110653020864,4.25081491882632,2.63002851774842e-05,0.000114832499676311,1.68537425503634
ADNP2,0.2130961777404,7.28841981382896,4.25069228636611,2.63140900256109e-05,0.000114851131601452,1.68487674113977
FRAP1,0.14223365683834,5.33814092383934,4.25055764544582,2.63292546418805e-05,0.000114875682752726,1.68433052465671
ABCB6,0.0979941472343562,5.03082280286756,4.25018085546957,2.6371736868318e-05,0.000115015714898502,1.68280203281207
HTRA2,0.212696357408142,6.59951437424409,4.25010362833184,2.63804521300169e-05,0.000115015714898502,1.68248876738625
GIT1,0.140264456060494,6.30475944749528,4.24973253551166,2.64223691708222e-05,0.000115156775083258,1.68098353315688
NFX1,0.173728142824942,5.2529154939447,4.24959635320809,2.64377676734466e-05,0.000115182199104068,1.68043117794656
YAP1,-0.426863178953192,5.87722957481461,-4.24845451234222,2.65672161191574e-05,0.000115704309767412,1.67580051143828
AGPAT1,0.258882406884612,7.44825933620091,4.24822898006169,2.65928557477957e-05,0.00011577410300613,1.67488601381183
C1orf78,-0.310010590292852,6.0585388855805,-4.24804210827128,2.66141181488225e-05,0.000115824796078107,1.67412831204984
POLQ,0.204988836170542,4.75362424142573,4.24792130926637,2.66278713757837e-05,0.000115842784359533,1.67363852929162
PROS1,-0.467845139144595,8.2752185107029,-4.24667747943166,2.67698791348695e-05,0.000116418520961393,1.66859613081112
PSMD4,0.106016802849749,7.22781197700279,4.24487808258837,2.69765955594132e-05,0.000117235741533894,1.66130389828174
DGUOK,0.20212882176296,8.37170303164359,4.24487226617942,2.69772662174406e-05,0.000117235741533894,1.66128033130634
TAF2,0.209621577482443,7.94995200668683,4.24462129523057,2.70062194530568e-05,0.000117319226065552,1.66026347326864
ERCC3,0.217827902678393,6.80446038404756,4.24372516094804,2.71098440581533e-05,0.000117726917471433,1.65663305914347
DHX38,0.276686999571362,6.08238252382402,4.2435255305189,2.71329799723829e-05,0.000117784911617677,1.65582441318592
SLC39A4,-0.404410625380874,5.58700970699897,-4.24311790385689,2.71802798749647e-05,0.000117907498587621,1.65417334208788
POLR3F,0.234615488091088,6.54991666818771,4.24311340915241,2.7180801866736e-05,0.000117907498587621,1.654155137326
LIN37,0.267410878092085,7.00749871344623,4.24124812611726,2.73982539460351e-05,0.000118807984882303,1.6466017654769
KCNAB3,0.10112176660948,4.1306426394086,4.24003122043948,2.75410128198545e-05,0.000119384044772026,1.64167560707211
SMPD4,0.201632242589296,6.9384189857124,4.23856808543387,2.77135974270158e-05,0.000120088931348012,1.63575440323696
PRR5,-0.225932291738791,5.18598543192304,-4.23686756425729,2.79154797077579e-05,0.000120920218216122,1.62887486891196
CHEK1,0.340597368704446,5.34078350952853,4.23618795970139,2.79965527301668e-05,0.000121227791433538,1.62612620633379
RFWD3,0.282074574235214,5.57653809519476,4.23499569431616,2.81393263929135e-05,0.000121802217262208,1.6213050624579
LARGE,0.118192751963107,5.19893169900594,4.23482471898495,2.81598575381299e-05,0.000121847288707927,1.62061379436003
LRRTM4,0.402499471371971,4.64154426977603,4.23318663809384,2.83572881740651e-05,0.000122657494321872,1.61399218847448
TMBIM4,-0.239073221414619,9.16730691454927,-4.2323492715561,2.84587216647782e-05,0.000123052038164186,1.61060821354566
HRASLS,0.554355380181796,6.10281815137203,4.23179918581356,2.85255439992972e-05,0.000123296698075928,1.60838553510038
ZNF24,0.173875109079155,6.72141745587894,4.23070043560989,2.86594643973003e-05,0.00012383109805249,1.60394671426375
RBM6,0.250411238545182,6.91379421035449,4.23045196812084,2.86898317321328e-05,0.000123917845666551,1.60294308157106
CSNK2A2,0.230163077621291,7.3570197338964,4.22990179715849,2.87571821043864e-05,0.000124164211868419,1.60072097290755
ENSA,0.190189449655444,8.01761738645107,4.22902676951229,2.88646113369365e-05,0.000124583386996197,1.59718733299324
HNRPA3,0.231903449287158,7.97195687763077,4.22874900493699,2.88987931391934e-05,0.000124686229660397,1.59606577152185
TIPRL,0.223690909734445,9.0519243014891,4.22837004146467,2.89454907995759e-05,0.000124842980017369,1.59453569679441
MYLIP,-0.279394181983016,5.26620035800434,-4.22726190568248,2.90824538665042e-05,0.000125388796799299,1.59006229186113
ABAT,0.568105535747879,8.53163586382898,4.22715184835343,2.90960904023203e-05,0.000125402691705347,1.58961806296687
KDR,-0.356876813646645,5.96298311992353,-4.22662103229916,2.91619462989067e-05,0.000125641558973679,1.58747565742614
PLXDC1,-0.40437865703282,5.93472919532363,-4.22377793160808,2.95171040294759e-05,0.000127126239886606,1.57600493333972
C13orf27,0.335330384783549,6.64186599460828,4.22298842467227,2.96164581905788e-05,0.000127508541126546,1.57282085878888
SARS,0.167564961956803,9.7620529835802,4.22287075200093,2.96312937966836e-05,0.000127526819120681,1.5723463327004
MTRF1,0.219560236317246,5.89182442694515,4.22093159330212,2.98767969301601e-05,0.000128537473609499,1.56452824062177
CDK5RAP3,0.252180546179423,8.28580693924738,4.21864127447761,3.0169257116736e-05,0.000129749355071334,1.55529862288147
COX8A,0.153400820349882,10.6172874163627,4.21613813960781,3.04920150407525e-05,0.000131090626605049,1.54521664824324
SYT17,0.393986962609894,7.60897287604476,4.21562900189864,3.05580658284101e-05,0.000131327704748649,1.54316664639464
UBOX5,0.117324423275668,5.2737760268746,4.21468301528982,3.06811518028178e-05,0.000131809643242787,1.53935831103644
HNRPK,0.160850184185955,10.7020937147134,4.21308045383337,3.08907469613221e-05,0.000132662758526477,1.53290853891147
TOP3A,0.10220842890612,4.85383932769115,4.21296165621107,3.09063384606361e-05,0.000132682398482346,1.53243050797732
TAGLN2,-0.36359748663879,8.49586816721111,-4.21189015476306,3.10473063390568e-05,0.000133240079449366,1.52811944170754
CTSO,-0.378445377203752,8.43885171509491,-4.21126105730036,3.11303565392417e-05,0.000133548896845582,1.52558880738199
POLR2E,0.233430274375035,8.95418818623438,4.21082621014946,3.11878866017937e-05,0.000133748052157692,1.52383977547513
MGA,0.242890306719435,6.28953955484181,4.21013496950093,3.1279546129846e-05,0.000134093376466929,1.52105982496157
STIL,0.353757485574158,5.86207208385735,4.20752542042657,3.1627897020387e-05,0.00013553848253363,1.51056882317768
POMP,-0.144073376427809,10.9932247612434,-4.20708134713342,3.16875438555434e-05,0.000135745785524174,1.50878413853213
NPHS1,0.0788529119750017,4.29397357329932,4.20643696925935,3.17742858914779e-05,0.00013606897251251,1.50619475803516
TROVE2,0.187474782276661,8.43583132675776,4.20621313429476,3.18044700755978e-05,0.00013610828451844,1.5052953805066
CEACAM21,-0.085479230331587,4.27678710718558,-4.20620126459797,3.18060714694313e-05,0.00013610828451844,1.50524768883353
PLLP,0.557773150851368,7.13527897894163,4.20563628406627,3.18823845073271e-05,0.000136386385164203,1.50297777655991
DDX56,0.214582664350675,7.64802511711174,4.20521172007413,3.19398460675575e-05,0.000136583674128383,1.50127219756582
CDC6,0.326938237875973,4.7449530506278,4.20512660681246,3.19513773872276e-05,0.000136584482249554,1.50093029548026
FKBP15,-0.125226502476326,6.23332234747065,-4.20427375535489,3.20671428414355e-05,0.000137030707628306,1.49750472081202
PTPN22,-0.10248876932579,3.8445673632438,-4.20417007811475,3.20812431504148e-05,0.000137042330619828,1.49708833290268
SDS,-0.305486165982649,5.45452883652807,-4.20369759831666,3.2145576226848e-05,0.000137268449972945,1.49519088176318
NDUFS7,0.266048265399855,7.96544048063982,4.20322377624344,3.22102155894677e-05,0.000137495716458125,1.49328823677505
ELOVL1,-0.236029142805648,7.37748207077546,-4.20299564677689,3.22413814597094e-05,0.000137579984244444,1.49237224714023
ZNF444,0.137418977640754,5.97169854389115,4.20214911373504,3.23572819243276e-05,0.000138025642554996,1.48897363109646
SYPL1,-0.357229108750809,8.99691790538915,-4.20038807334747,3.25996633775796e-05,0.000139010320960628,1.48190551357077
KCNIP2,0.0762986093030693,3.85964425381621,4.19983474928386,3.26761770678864e-05,0.000139287265221766,1.47968525201821
SECISBP2,0.192733892416953,6.00257784707592,4.19968014120023,3.26975868697618e-05,0.000139329207744399,1.47906492147606
COL11A2,0.115585002540198,4.3803191062255,4.19824938293344,3.2896350837118e-05,0.000140126585348629,1.47332531729417
TRIM21,-0.263423744076944,6.02014794110898,-4.19362590614415,3.35465596425831e-05,0.000142845711179627,1.45479014213907
HSPA1L,0.178577325190666,5.44633583304293,4.19310941781344,3.36199504951903e-05,0.000143107615363408,1.45272074368942
RRAD,-0.22348063528615,4.23979829714043,-4.19277292305736,3.36678473209756e-05,0.000143260854218794,1.45137264611017
NPPA,0.383991953422191,5.40694207481822,4.19253917664833,3.37011571766209e-05,0.000143351937379325,1.45043624731501
TBCB,0.215981278865527,9.87025604974789,4.19192678432169,3.3788574716091e-05,0.000143673028506768,1.44798320308466
POLR2D,0.252802036982784,6.51653559926254,4.1906929680766,3.39653559206046e-05,0.000144373743733117,1.44304193675885
TXNDC5,-0.252171383669184,8.48293983237459,-4.19023221945096,3.40315978047178e-05,0.000144604269853356,1.44119704384224
PSMB5,0.23137549150807,9.28981843593324,4.18968830366155,3.4109955138537e-05,0.000144886095159881,1.4390193794555
GNAO1,0.380968742540772,5.7837540948746,4.1892718926129,3.41700601424744e-05,0.000145086364892235,1.43735237869082
KLRC4,0.230245851355807,3.7019279357463,4.18919478780844,3.41812005646297e-05,0.000145086364892235,1.43704372498679
CA14,0.467874713494687,6.06757950260132,4.18790567611694,3.43679703632262e-05,0.000145827730484133,1.43188413097761
ZNF671,0.236205518482751,5.65460182481561,4.18780380307489,3.43827713899433e-05,0.00014583914514889,1.43147645230188
OBSL1,0.211592871264914,5.93170887112437,4.18728090148304,3.44588388889219e-05,0.000146110330246619,1.42938403203467
ZNF549,0.0713058655999905,4.21412705660745,4.18591569916028,3.46581943135979e-05,0.000146864740803596,1.4239222294312
CCL27,0.0949723792981345,4.14948560113041,4.18589550052484,3.46611520813668e-05,0.000146864740803596,1.42384143247865
RPP21,0.159427013354759,7.95277127801387,4.18553853749188,3.47134633330334e-05,0.000147034655454234,1.42241359685277
LIMD1,0.268813599588288,4.7413498237561,4.18532737103282,3.4744444197573e-05,0.000147073259526322,1.42156899345435
TRAM1,-0.219707063086519,8.70849598484332,-4.1853099307038,3.47470040983545e-05,0.000147073259526322,1.42149923904556
PIGP,-0.271792242953756,8.6167209211458,-4.18421807824913,3.49076251819941e-05,0.000147701202544474,1.41713279345609
EIF2B5,0.1949610724004,7.04304110086683,4.18367740325503,3.49874249567762e-05,0.000147974274258137,1.4149709585245
CDKN2C,0.43007253332551,8.08342967538257,4.18361437239513,3.49967391701688e-05,0.000147974274258137,1.41471895263887
JMJD1C,0.299594356083851,7.56591365852194,4.18156001477315,3.53016132670467e-05,0.000149210960674544,1.40650726371525
TFAP4,0.121099325301132,4.92175410546403,4.18121977807582,3.53523493089902e-05,0.000149372979080302,1.40514762561256
GLO1,0.144717605104329,10.7384065748767,4.18064873208439,3.54376598294881e-05,0.00014968091885889,1.40286586665712
CD7,-0.085934222829497,4.32476616946816,-4.1802445175065,3.54981653839654e-05,0.000149854088500781,1.40125089802051
NLK,0.337061856292584,6.11937342377909,4.18020859594031,3.55035471261193e-05,0.000149854088500781,1.4011073866304
SERPINB8,-0.255527516208932,5.09550007161036,-4.17840373927264,3.57749526546837e-05,0.000150946734361493,1.39389820564082
LSM14A,0.201572169375541,7.98645345161206,4.17629515500313,3.60945355809072e-05,0.000152241820478208,1.38547946301302
DBI,0.266853125407099,12.0315576477177,4.17547462542019,3.62196311324795e-05,0.00015271596572035,1.38220446886683
MOSPD3,0.214368144495854,6.86969305268018,4.1741053223739,3.64293115744616e-05,0.000153546296807724,1.37674046289065
LPPR2,0.209163875632714,6.23861283078667,4.17352135094999,3.65190861076647e-05,0.000153870830968684,1.37441071044095
ST8SIA4,-0.217037906229157,4.83617320090465,-4.17272110650734,3.66424509453954e-05,0.00015433661919708,1.37121862405578
VAMP2,0.290510969596252,6.45356078038931,4.17250931901073,3.66751662740053e-05,0.000154420402892158,1.3703739213823
XRCC2,0.257600644346033,5.80510144096089,4.16945273894946,3.71504340669588e-05,0.000156366839229052,1.35818731134518
CSTF3,0.203749466351978,7.81709799552781,4.1685022123551,3.72994237516203e-05,0.000156939084841723,1.35439922778199
FTSJ3,0.207654018661322,7.58825716446445,4.16837170196653,3.73199249136815e-05,0.000156970498012767,1.35387917361277
C16orf58,0.190631137447179,6.47796087361236,4.16805949136205,3.73690119371608e-05,0.000157122081615674,1.35263514622302
RRN3,0.24032178011995,6.38186813344454,4.16682812517781,3.75632127481099e-05,0.00015788349316326,1.34772950748079
CCNJL,0.144217611913629,4.69482641327092,4.16654700156055,3.76076838442076e-05,0.000158015257799005,1.34660972622101
IRF7,-0.277706983634139,6.39120666582515,-4.16562468389745,3.77539382785304e-05,0.000158574441838181,1.3429364066812
ATG4B,0.158613584377011,6.87554580332738,4.16515256908523,3.78290123362644e-05,0.000158834367696407,1.34105640185482
NMU,0.547653378443673,5.9486396201854,4.16432463099659,3.79610117014386e-05,0.000159289539942519,1.33775994901231
NUP210,0.182943911891152,5.27233261709996,4.16430670359128,3.79638747413245e-05,0.000159289539942519,1.33768857733882
TNRC4,0.0756193049657119,4.72533229900172,4.16381633777458,3.8042266887969e-05,0.000159562862370227,1.33573646748445
ZNF195,0.259003003696456,7.10779709837888,4.16301428752956,3.81708188377927e-05,0.00016004630934704,1.33254402080944
MRPL2,0.182303144283457,6.27195846056748,4.16248787906819,3.82554159740175e-05,0.000160345185923815,1.33044903441338
C3orf58,-0.252229563314051,4.91874460628804,-4.16175480889323,3.83735225443971e-05,0.000160784258343643,1.32753198716074
LOC130074,0.291885944246154,8.37812664863783,4.16133713759185,3.84409697490467e-05,0.000161010837467138,1.32587019263001
TUBGCP3,0.208040612089013,6.03541994865794,4.16084414186604,3.85207259570519e-05,0.000161288797626849,1.32390890118184
DNAJC3,-0.188478095365432,6.20868604053643,-4.16034308082445,3.86019484696449e-05,0.000161572701936553,1.32191574239033
C14orf32,0.204602404043332,8.11672515770801,4.15885657559149,3.88438735405259e-05,0.000162528813472902,1.3160039077894
KPNA5,0.121790449628927,4.26001181299722,4.15829333570579,3.89359161868298e-05,0.000162857347246198,1.31376440920687
DKC1,0.233395172725254,7.77941528818394,4.15765842965163,3.9039919340847e-05,0.000163235662743916,1.31124029325107
LCK,-0.194807670029239,4.33589042224336,-4.15650580161167,3.9229406500773e-05,0.000163971021548875,1.30665884139882
UBAC1,0.215896463155744,7.70761991611698,4.15526820331266,3.94338375778524e-05,0.000164728289505851,1.3017409518457
ZNF609,0.15390518567528,5.38711194295759,4.15524343783882,3.94379387680924e-05,0.000164728289505851,1.30164255412874
NUP160,0.165120022680391,5.32805956448693,4.15497854310277,3.94818310535955e-05,0.000164854441590637,1.30059011307262
FLJ12529,0.256736992651069,8.18811883716853,4.15432703276325,3.95899824514743e-05,0.000165248723979429,1.29800189001542
APBA3,0.136162222286002,5.67610968381185,4.15342056544961,3.97409264799913e-05,0.000165821287828155,1.29440143315632
PARD3,0.207106016719028,6.08835066945912,4.15295571265168,3.9818545767392e-05,0.000166087609328346,1.29255533431621
