,logFC,AveExpr,t,P.Value,adj.P.Val,B
AIF1,-1.05951863422212,7.50764761469997,-14.066867054378,4.64282554406044e-37,3.28875912950446e-34,73.4190898569094
PTPRC,-1.22602028687211,6.89271875508564,-14.0126142928643,7.80882468115291e-37,5.2241037116913e-34,72.905359545578
COL3A1,-2.11785784364837,8.9502771693703,-13.8431988631159,3.94200279891389e-36,2.49839987918532e-33,71.3057005258369
CSF2RB,-0.991038763323916,5.44164007337563,-13.8329313039419,4.34742815680565e-36,2.61758649321268e-33,71.2089782642591
MAFB,-1.43346908937693,9.43597673611121,-13.8271923020204,4.5918878594129e-36,2.63311969538334e-33,71.1549272549527
LUM,-2.08265360916013,7.0760663119911,-13.7645534536947,8.33828555884878e-36,4.56407430452987e-33,70.5655184587463
FCGR2B,-1.62956512621296,6.47848780025464,-13.6788539830241,1.88298486380827e-35,9.85865379564313e-33,69.7607256293584
SYK,-0.953227651774829,6.37169701626692,-13.6371016610652,2.798372042087e-35,1.40408317211715e-32,69.3693172670483
GMFG,-1.10455439015872,7.63351176127482,-13.6060871747784,3.75480255506269e-35,1.8086132947226e-32,69.0788637507336
MS4A6A,-1.34364863065513,8.50933950314169,-13.5058892949891,9.69028568431856e-35,4.39454205779844e-32,68.142227521402
LAIR1,-0.873094989285611,5.91528930679583,-13.5041244148551,9.85323331344942e-35,4.39454205779844e-32,68.1257535092686
LILRB2,-0.724856288293381,4.8642613144904,-13.4986421561876,1.0377026201639e-34,4.46286248286203e-32,68.0745854831719
SLC7A7,-0.951696604986388,7.12047486449713,-13.4777590074091,1.26393921748288e-34,5.24839864032028e-32,67.8797486984675
SLAMF8,-0.940121497061805,5.42910313691277,-13.447868136415,1.67585584104167e-34,6.72688534594125e-32,67.601075008816
STAB1,-1.17156446098097,7.53372829451914,-13.3964338922339,2.72144260109328e-34,1.05714876781823e-31,67.1221175071293
CCR1,-1.05075178707913,6.61039206183922,-13.386246238387,2.99549453362004e-34,1.11290904146554e-31,67.0273351784561
CTSS,-1.22213648870045,7.10594386358358,-13.3834546107184,3.07527987644602e-34,1.11290904146554e-31,67.0013678165237
MS4A4A,-1.63575640385289,8.08876579435388,-13.3811667490554,3.14224442865207e-34,1.11290904146554e-31,66.9800880120515
CD163,-1.92467254997286,9.20024562534803,-13.3398831447657,4.63389360530727e-34,1.5575719768406e-31,66.596348953316
LTBP2,-1.167404830506,6.65737284200514,-13.3393674898025,4.65641846589117e-34,1.5575719768406e-31,66.5915588099432
HCK,-1.21641016733858,6.42379147705153,-13.3254873806382,5.30550410347425e-34,1.72672649767667e-31,66.4626480633605
CCR5,-0.721168341325319,6.0263647420252,-13.2932952628377,7.17931319966652e-34,2.27508656711538e-31,66.1638712797869
ITGB2,-1.26783262470706,8.57945712577926,-13.2841927175301,7.81991626978482e-34,2.41454953130125e-31,66.0794424017573
GIMAP4,-1.13080848307061,7.54292824284689,-13.2641513310527,9.43829015827756e-34,2.84139725214946e-31,65.8936341082621
MNDA,-1.33235925484009,6.53157535139948,-13.2453418163289,1.12594933004256e-33,3.26006950596193e-31,65.7193492885582
GNA15,-0.726601696970205,5.54670711644832,-13.244296113602,1.13704467073909e-33,3.26006950596193e-31,65.7096629578313
NCF4,-0.807841897906453,5.08270519778325,-13.2368681605481,1.21905813794049e-33,3.41392979001846e-31,65.6408667950115
FPR1,-0.67680570508456,6.0695388144244,-13.2122982978565,1.5347076382691e-33,4.20021576819011e-31,65.413416848645
C3AR1,-1.15261356123845,7.65124301422905,-13.0999556305879,4.38852308402199e-33,1.17436877728429e-30,64.375623583732
CENTA2,-0.852387696029736,7.33560312425488,-13.0816975569178,5.20387408519375e-33,1.36228373334572e-30,64.2073037213625
LYZ,-1.76681563455502,8.10525931023814,-12.9017234418237,2.77697255810708e-32,7.11495820100542e-30,62.5533838403388
MYO1F,-0.812770592630922,6.32507226577044,-12.8722143911924,3.65100908282901e-32,9.15946903654727e-30,62.2831257105839
C1orf38,-0.981281138586865,5.95424097370364,-12.8543391390779,4.30869799311231e-32,1.05888451496038e-29,62.1195438949619
GLIPR1,-1.24362239634459,7.50436680755302,-12.8010029584024,7.05877539298982e-32,1.70003546564767e-29,61.6320278541744
DAB2,-1.08679868462259,7.40874438962732,-12.7967948627366,7.33884339580446e-32,1.73283043475054e-29,61.5936011383823
NCKAP1L,-0.82334602456812,5.63189946623245,-12.7724690388701,9.18894016526848e-32,2.12794648981083e-29,61.3715740100208
VAMP8,-1.3074539934704,8.90863487733572,-12.7690082512472,9.4874551760411e-32,2.15562141943183e-29,61.3400014923129
ALOX5,-0.50027971855733,5.0373664196375,-12.7393949540535,1.24706604681862e-31,2.77175401923233e-29,61.0699933056911
